Starting Simulation...
num_nodes is set 3
channel.cc:sendUp - Calc highestAntennaZ_ and distCST_
highestAntennaZ_ = 1.5,  distCST_ = 550.0
speed is 6526.138864, pass dst 0
speed is 29606.174624, pass dst 0
speed is 36110.384034, pass dst 0
speed is 36131.164626, pass dst 0
speed is 36157.741919, pass dst 0
speed is 36169.507047, pass dst 0
speed is 36195.672959, pass dst 0
speed is 36234.767675, pass dst 0
speed is 36264.482766, pass dst 0
speed is 36276.400924, pass dst 0
speed is 36300.030798, pass dst 0
speed is 36342.886779, pass dst 0
speed is 36366.812511, pass dst 0
speed is 36378.718248, pass dst 0
speed is 36391.500792, pass dst 0
speed is 36405.740797, pass dst 0
speed is 36468.058488, pass dst 0
speed is 36496.722804, pass dst 0
speed is 36508.664724, pass dst 0
speed is 36551.547869, pass dst 0
speed is 36578.012098, pass dst 0
speed is 36604.551865, pass dst 0
speed is 36630.651538, pass dst 0
speed is 36642.393314, pass dst 0
speed is 36668.709449, pass dst 0
speed is 36680.454149, pass dst 0
speed is 36692.340885, pass dst 0
speed is 36720.956148, pass dst 0
speed is 36732.869374, pass dst 0
speed is 36759.388534, pass dst 0
speed is 36806.988276, pass dst 0
speed is 36821.434023, pass dst 0
speed is 36850.046472, pass dst 0
speed is 36890.634118, pass dst 0
speed is 36902.770073, pass dst 0
speed is 36943.248778, pass dst 0
speed is 36983.759847, pass dst 0
speed is 37010.075511, pass dst 0
speed is 37033.747865, pass dst 0
speed is 37076.753703, pass dst 0
speed is 37103.054174, pass dst 0
speed is 37129.240637, pass dst 0
speed is 37143.539907, pass dst 0
speed is 37181.639996, pass dst 0
speed is 37205.748453, pass dst 0
speed is 37234.494182, pass dst 0
speed is 37246.289852, pass dst 0
speed is 37284.610619, pass dst 0
speed is 37313.526830, pass dst 0
speed is 37337.593156, pass dst 0
speed is 37354.311231, pass dst 0
speed is 37380.813840, pass dst 0
speed is 37419.185903, pass dst 0
speed is 37433.797502, pass dst 0
speed is 37461.582032, pass dst 0
speed is 37485.767508, pass dst 0
speed is 37523.738152, pass dst 0
speed is 37535.511865, pass dst 0
